Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Dendrite,CellType
00001.swc,908,12.5664,4,26,54,29,179.4,189.06,68,1.9978,1282.02,8055.14,4027.57,108.238,145.454,9,0.910708,15.7963,1,71.9308,63.2672,1.05668,apical,MFG
00002.swc,766,12.5664,10,23,55,33,112.7,131.23,106,1.99739,1219.4,7661.71,3830.85,93.6695,133.987,8,0.90899,12.9091,1,77.5144,60.0782,1.06867,apical,MFG
00003.swc,487,12.5664,6,17,38,22,106.72,90.62,84,1.99589,747.247,4695.09,2347.55,82.5559,101.606,6,0.917509,11.7895,1,64.3675,56.5385,1.06939,basal,MFG
00004.swc,666,12.5664,6,18,40,23,159.62,166.52,79.99,1.997,977.99,6144.89,3072.45,107.838,132.476,6,0.911433,15.625,1,92.741,62.5257,1.03781,basal,MFG
00005.swc,1749,12.5664,8,40,86,47,223.1,230.92,104,1.99886,2541.14,15966.4,7983.22,140.56,161.228,5,0.913278,19.3256,1,88.4347,60.4203,1.06136,basal,MFG
00006.swc,1777,12.5664,8,31,68,38,213.9,223.56,107.333,1.99887,2453.58,15416.3,7708.14,137.154,181.27,7,0.904862,25.1176,1,75.2592,55.862,1.10505,basal,MFG
00007.swc,1707,12.5664,8,34,74,41,208.23,228.16,109,1.99883,2359.53,14825.4,7412.69,138.434,171.635,6,0.905079,22.0541,1,85.6293,60.213,1.06552,basal,MFG
00008.swc,1639,12.5664,8,33,72,40,206.08,218.04,109,1.99878,2361.59,14838.3,7419.14,136.945,184.344,6,0.902644,21.75,1,76.245,59.6427,1.07386,basal,MFG
00009.swc,331,12.5664,7,9,23,15,89.7,110.4,69,1.99396,514.962,3235.6,1617.8,69.8929,90.0881,5,0.893078,13.3478,1,96.8593,84.9055,0.988306,basal,MFG
00010.swc,1061,12.5664,9,29,65,37,176.64,177.56,115,1.99811,1546.29,9715.63,4857.82,109.459,143.344,7,0.913161,15.3077,1,93.5309,69.2974,1.06552,basal,MFG
00011.swc,1143,12.5664,10,37,82,46,164.22,149.96,87,2.07772,2209.04,16069.6,16140.2,121.641,145.165,7,0.884647,12.9268,1.23346,68.6476,74.3468,1.11178,basal,MFG
00012.swc,536,12.5664,4,17,36,20,152.26,142.6,98.28,1.99627,794.77,4993.69,2496.84,103.214,133.509,5,0.913519,13.8611,1,83.2998,67.8519,1.07128,other,MFG
00013.swc,790,12.5664,8,23,53,31,142.6,115.31,94,1.99747,1136.29,7139.5,3569.75,105.575,136.449,5,0.896873,13.8868,1,75.1379,66.8359,1.06982,other,MFG
00014.swc,1309,25048.1,11,47,104,58,230.92,209.76,149,2.24216,2827.57,27813.7,50328.8,149.186,209.496,9,0.932346,11.5769,0.863606,69.6407,59.4678,1.10682,other,MFG
00015.swc,736,12.5664,9,19,45,27,138.92,161,133,2.21796,1366.53,12637.9,34648.5,137.143,171.988,6,0.911099,15.3333,1.83247,68.1696,56.7873,1.05112,other,MFG
00016.swc,924,12.5664,10,22,52,31,181.24,168.34,132,1.99784,1392.13,8747.01,4373.5,140.295,188.318,6,0.895855,16.75,1,105.297,69.9828,1.07978,apical,MFG
00017.swc,564,12.5664,7,14,33,20,152.72,147.03,70,1.99645,814.213,5115.85,2557.93,104.139,114.763,5,0.905272,16.0606,1,61.7736,54.1252,1.08992,other,MFG
00018.swc,999,12.5664,9,26,59,34,167.9,126.5,140,1.998,1416.58,8900.61,4450.31,129.759,172.213,7,0.891451,15.9153,1,91.7516,66.9269,1.04591,other,MFG
